Bumps Category,Wall Distance Category,Probability of Door Detection
0,Very Close (0-500),0.12
0,Close (500-1500),0.0
0,Moderate (1500-3000),0.1
0,Far (>3000),0.0
1,Very Close (0-500),1.0
1,Close (500-1500),1.0
1,Moderate (1500-3000),0.1
1,Far (>3000),0.1
2,Very Close (0-500),0.1
2,Close (500-1500),0.1
2,Moderate (1500-3000),0.1
2,Far (>3000),0.1
More than 2,Very Close (0-500),0.0
More than 2,Close (500-1500),0.1
More than 2,Moderate (1500-3000),0.1
More than 2,Far (>3000),0.1
